Lon,Lat,veg_class
26.75,64.25,boreal_evergreen_forest_woodland
57.75,68.25,boreal_evergreen_forest_woodland
96.75,57.25,boreal_evergreen_forest_woodland
7.25,61.75,boreal_evergreen_forest_woodland
136.75,52.75,boreal_evergreen_forest_woodland
87.75,62.75,boreal_evergreen_forest_woodland
98.75,55.25,boreal_evergreen_forest_woodland
-116.25,61.25,boreal_evergreen_forest_woodland
73.75,50.25,boreal_evergreen_forest_woodland
-158.25,62.25,boreal_evergreen_forest_woodland
-159.25,59.25,boreal_evergreen_forest_woodland
26.25,67.75,boreal_evergreen_forest_woodland
15.75,61.25,boreal_evergreen_forest_woodland
-104.75,52.25,boreal_evergreen_forest_woodland
-131.25,55.25,boreal_evergreen_forest_woodland
82.25,48.25,boreal_evergreen_forest_woodland
56.25,67.75,boreal_evergreen_forest_woodland
-78.25,47.75,boreal_evergreen_forest_woodland
38.75,66.25,boreal_evergreen_forest_woodland
48.25,62.25,boreal_evergreen_forest_woodland
82.25,42.75,boreal_evergreen_forest_woodland
15.25,68.25,boreal_evergreen_forest_woodland
36.75,62.25,boreal_evergreen_forest_woodland
44.75,58.25,boreal_evergreen_forest_woodland
-135.75,61.75,boreal_evergreen_forest_woodland
-129.25,61.25,boreal_evergreen_forest_woodland
39.25,59.75,boreal_evergreen_forest_woodland
83.25,67.75,boreal_evergreen_forest_woodland
90.75,46.75,boreal_evergreen_forest_woodland
-124.25,64.25,boreal_evergreen_forest_woodland
83.75,49.25,boreal_evergreen_forest_woodland
90.75,55.25,boreal_evergreen_forest_woodland
109.25,51.75,boreal_evergreen_forest_woodland
93.25,46.25,boreal_evergreen_forest_woodland
65.25,63.75,boreal_evergreen_forest_woodland
42.75,59.75,boreal_evergreen_forest_woodland
-109.75,56.75,boreal_evergreen_forest_woodland
87.25,43.25,boreal_evergreen_forest_woodland
141.25,52.25,boreal_evergreen_forest_woodland
12.25,47.25,boreal_evergreen_forest_woodland
44.25,63.25,boreal_evergreen_forest_woodland
-58.25,48.25,boreal_evergreen_forest_woodland
76.25,63.75,boreal_evergreen_forest_woodland
-85.75,53.75,boreal_evergreen_forest_woodland
160.25,58.75,boreal_evergreen_forest_woodland
-76.25,51.25,boreal_evergreen_forest_woodland
-104.75,57.25,boreal_evergreen_forest_woodland
-122.25,60.25,boreal_evergreen_forest_woodland
94.25,30.25,boreal_evergreen_forest_woodland
-82.25,54.75,boreal_evergreen_forest_woodland
-106.75,60.25,boreal_evergreen_forest_woodland
89.75,59.75,boreal_evergreen_forest_woodland
45.25,67.25,boreal_evergreen_forest_woodland
31.25,66.75,boreal_evergreen_forest_woodland
-131.75,55.75,boreal_evergreen_forest_woodland
-70.75,50.25,boreal_evergreen_forest_woodland
-127.75,60.25,boreal_evergreen_forest_woodland
-109.25,58.25,boreal_evergreen_forest_woodland
13.25,46.75,boreal_evergreen_forest_woodland
88.75,59.75,boreal_evergreen_forest_woodland
-105.25,59.25,boreal_evergreen_forest_woodland
89.25,55.25,boreal_evergreen_forest_woodland
-118.25,58.75,boreal_evergreen_forest_woodland
86.25,57.25,boreal_evergreen_forest_woodland
76.25,41.25,boreal_evergreen_forest_woodland
102.75,48.25,boreal_evergreen_forest_woodland
74.75,60.25,boreal_evergreen_forest_woodland
-89.25,50.25,boreal_evergreen_forest_woodland
-139.25,63.25,boreal_evergreen_forest_woodland
142.75,50.75,boreal_evergreen_forest_woodland
-73.75,52.25,boreal_evergreen_forest_woodland
-156.75,62.25,boreal_evergreen_forest_woodland
72.75,66.25,boreal_evergreen_forest_woodland
-161.75,60.75,boreal_evergreen_forest_woodland
29.75,65.25,boreal_evergreen_forest_woodland
77.25,34.25,boreal_evergreen_forest_woodland
49.25,68.75,boreal_evergreen_forest_woodland
53.75,60.75,boreal_evergreen_forest_woodland
36.75,68.75,boreal_evergreen_forest_woodland
37.75,68.25,boreal_evergreen_forest_woodland
31.25,69.25,boreal_evergreen_forest_woodland
-110.25,58.75,boreal_evergreen_forest_woodland
-55.75,51.25,boreal_evergreen_forest_woodland
66.75,64.75,boreal_evergreen_forest_woodland
-122.25,62.25,boreal_evergreen_forest_woodland
64.75,67.75,boreal_evergreen_forest_woodland
-105.25,57.25,boreal_evergreen_forest_woodland
34.25,68.75,boreal_evergreen_forest_woodland
68.75,34.75,boreal_evergreen_forest_woodland
94.75,54.75,boreal_evergreen_forest_woodland
59.25,65.25,boreal_evergreen_forest_woodland
-104.75,59.25,boreal_evergreen_forest_woodland
-71.25,49.75,boreal_evergreen_forest_woodland
-87.75,50.25,boreal_evergreen_forest_woodland
95.75,53.25,boreal_evergreen_forest_woodland
65.75,59.75,boreal_evergreen_forest_woodland
87.75,64.25,boreal_evergreen_forest_woodland
14.75,47.25,boreal_evergreen_forest_woodland
-99.25,54.75,boreal_evergreen_forest_woodland
-114.75,55.75,boreal_evergreen_forest_woodland
-121.75,57.75,boreal_evergreen_forest_woodland
-70.25,54.25,boreal_evergreen_forest_woodland
-70.75,47.75,boreal_evergreen_forest_woodland
37.25,60.25,boreal_evergreen_forest_woodland
157.25,51.25,boreal_evergreen_forest_woodland
74.25,58.75,boreal_evergreen_forest_woodland
74.75,64.75,boreal_evergreen_forest_woodland
81.25,61.75,boreal_evergreen_forest_woodland
-124.25,61.25,boreal_evergreen_forest_woodland
143.25,50.75,boreal_evergreen_forest_woodland
32.75,38.75,boreal_evergreen_forest_woodland
27.75,68.75,boreal_evergreen_forest_woodland
-126.75,54.75,boreal_evergreen_forest_woodland
84.75,47.25,boreal_evergreen_forest_woodland
-103.25,56.75,boreal_evergreen_forest_woodland
-115.25,53.25,boreal_evergreen_forest_woodland
-123.75,57.75,boreal_evergreen_forest_woodland
90.75,47.75,boreal_evergreen_forest_woodland
35.75,66.75,boreal_evergreen_forest_woodland
41.75,63.75,boreal_evergreen_forest_woodland
86.25,62.25,boreal_evergreen_forest_woodland
97.75,55.25,boreal_evergreen_forest_woodland
82.25,49.25,boreal_evergreen_forest_woodland
-133.75,59.75,boreal_evergreen_forest_woodland
7.75,59.25,boreal_evergreen_forest_woodland
135.25,43.75,boreal_evergreen_forest_woodland
-135.25,57.25,boreal_evergreen_forest_woodland
46.75,65.75,boreal_evergreen_forest_woodland
44.25,65.75,boreal_evergreen_forest_woodland
-57.25,51.75,boreal_evergreen_forest_woodland
96.75,48.25,boreal_evergreen_forest_woodland
31.75,65.25,boreal_evergreen_forest_woodland
-64.75,48.75,boreal_evergreen_forest_woodland
15.75,60.75,boreal_evergreen_forest_woodland
-57.25,48.75,boreal_evergreen_forest_woodland
55.75,66.25,boreal_evergreen_forest_woodland
107.25,50.75,boreal_evergreen_forest_woodland
-106.75,38.75,boreal_evergreen_forest_woodland
-125.25,60.75,boreal_evergreen_forest_woodland
-102.25,55.75,boreal_evergreen_forest_woodland
62.25,61.75,boreal_evergreen_forest_woodland
37.75,63.25,boreal_evergreen_forest_woodland
21.25,67.25,boreal_evergreen_forest_woodland
74.75,66.25,boreal_evergreen_forest_woodland
111.75,49.75,boreal_evergreen_forest_woodland
-95.75,57.75,boreal_evergreen_forest_woodland
-154.75,61.25,boreal_evergreen_forest_woodland
100.75,50.25,boreal_evergreen_forest_woodland
-119.25,42.75,boreal_evergreen_forest_woodland
91.25,57.75,boreal_evergreen_forest_woodland
-109.75,49.75,boreal_evergreen_forest_woodland
77.75,64.75,boreal_evergreen_forest_woodland
102.25,37.25,boreal_evergreen_forest_woodland
98.25,46.25,boreal_evergreen_forest_woodland
139.25,51.25,boreal_evergreen_forest_woodland
-63.25,50.75,boreal_evergreen_forest_woodland
